"key","message","comment","context"
"An active company must be selected.","Debe seleccionar una compañía para continuar.",,""
"You do not have access to the record company.","No tiene acceso a la compañía del registro.",,""
"Category belongs to another company.","La categoría pertenece a otra compañía.",,""
"A category cannot be its own parent.","Una categoría no puede ser su propio padre.",,""
"Category hierarchy contains a cycle.","La jerarquía de categorías contiene un ciclo.",,""
"Cannot archive a category with active children.","No puede archivar una categoría con hijos activos.",,""
"Cannot archive a category with active items.","No puede archivar una categoría con artículos activos.",,""
"SKU already exists.","El SKU ya existe.",,""
"Barcode already exists.","El código de barras ya existe.",,""
"Unit of measure is archived.","La unidad de medida está archivada.",,""
"Cannot archive a unit of measure used by active items.","No puede archivar una unidad de medida utilizada por artículos activos.",,""
"Tax category does not match the company country.","El impuesto no corresponde al país de la compañía.",,""
"Company country is required when a tax category is selected.","Debe configurar el país de la compañía antes de seleccionar un impuesto.",,""
"Item is archived.","El artículo está archivado.",,""
