"key","message","comment","context"
"Emission establishments","Establecimientos de emisión",,""
"Emission establishment","Establecimiento de emisión",,""
"Points of sale","Puntos de emisión",,""
"Point of sale","Punto de emisión",,""
"Document series","Series documentales",,""
"User point assignments","Asignaciones de usuarios a puntos",,""
"Sequence reservations","Reservas de secuencias",,""
"Branch is required.","La sucursal es obligatoria.",,""
"Code is required.","El código es obligatorio.",,""
"Name is required.","El nombre es obligatorio.",,""
"Establishment code already exists in this branch.","El código del establecimiento ya existe en esta sucursal.",,""
"Branch already has a default establishment.","La sucursal ya tiene un establecimiento predeterminado.",,""
"Emission establishment is required.","El establecimiento de emisión es obligatorio.",,""
"Point type is required.","El tipo de punto es obligatorio.",,""
"Point code already exists in this establishment.","El código del punto ya existe en este establecimiento.",,""
"User has no access to the point company or branch.","El usuario no tiene acceso a la compañía o sucursal del punto.",,""
"Point of sale belongs to another establishment.","El punto de emisión pertenece a otro establecimiento.",,""
"Padding length must be between 1 and 20.","La longitud de relleno debe estar entre 1 y 20.",,""
"Display pattern must contain the {SEQ} token.","El patrón debe contener el token {SEQ}.",,""
"Display pattern contains an unsupported token.","El patrón contiene un token no permitido.",,""
"Document ID or correlation key is required.","Se requiere el ID del documento o una clave de correlación.",,""
"Only a reserved sequence can make this transition.","Solo una secuencia reservada puede realizar esta transición.",,""
"Void reason is required.","El motivo de anulación es obligatorio.",,""
