"key","message","comment","context"
"Active",,,"
resources\domains\Branch.xml
resources\domains\Company.xml"
"Address",,,"resources\domains\Branch.xml"
"An active branch with code {0} already exists in company {1}.",,,"BranchService"
"An active company with code {0} already exists.",,,"CompanyService"
"Audit",,,"resources\views\Organization.xml"
"Branch",,,"resources\views\Organization.xml"
"Branch city must belong to an active geographic hierarchy.",,,"OrganizationValidationService"
"Branch code",,,"BranchService"
"Branch company is required.",,,"BranchService"
"Branch company cannot be changed after operational use.",,,"BranchService"
"Branch must be active and not archived.",,,"BranchService"
"Branch name",,,"BranchService"
"Branch is required.",,,"BranchService"
"Branches",,,"
resources\domains\Company.xml
resources\views\Organization.xml"
"City",,,"resources\domains\Branch.xml"
"Code",,,"
resources\domains\Branch.xml
resources\domains\Company.xml"
"Companies",,,"resources\views\Organization.xml"
"Company",,,"
resources\domains\Branch.xml
resources\views\Organization.xml"
"Company already has an active default branch.",,,"BranchService"
"Company can have only one active default branch.",,,"CompanyService"
"Company cannot be archived while it has active branches.",,,"CompanyService"
"Company code",,,"CompanyService"
"Company is required.",,,"CompanyService"
"Company must be active and not archived.",,,"CompanyService"
"Company name",,,"CompanyService"
"Company structural data cannot be changed after operational use.",,,"CompanyService"
"Country",,,"resources\domains\Company.xml"
"Country must be active.",,,"OrganizationValidationService"
"Default",,,"resources\domains\Branch.xml"
"Default branch must be replaced before it can be archived.",,,"BranchService"
"Default currency",,,"resources\domains\Company.xml"
"Default currency must be active.",,,"OrganizationValidationService"
"General information",,,"resources\views\Organization.xml"
"Legal name",,,"resources\domains\Company.xml"
"Locale",,,"resources\domains\Company.xml"
"Locale {0} is invalid.",,,"OrganizationValidationService"
"Location",,,"resources\views\Organization.xml"
"Name",,,"
resources\domains\Branch.xml
resources\domains\Company.xml"
"Organization",,,"resources\views\Organization.xml"
"Regional configuration",,,"resources\views\Organization.xml"
"Set as default",,,"resources\views\Organization.xml"
"Status",,,"resources\views\Organization.xml"
"Tax ID",,,"resources\domains\Company.xml"
"The last active branch of the company cannot be archived.",,,"BranchService"
"Timezone",,,"resources\domains\Company.xml"
"Timezone {0} is invalid.",,,"OrganizationValidationService"
"{0} is required.",,,"OrganizationValidationService"
