"key","message","comment","context"
"An active company must be selected.","Debe seleccionar una compañía para continuar.",,""
"You do not have access to the record company.","No tiene acceso a la compañía del registro.",,""
"Party already exists for this identification.","El tercero ya existe para esta identificación.",,""
"Party is archived or inactive.","El tercero está archivado o inactivo.",,""
"Identification type is required.","El tipo de identificación es obligatorio.",,""
"Email format is invalid.","El formato del correo electrónico no es válido.",,""
"Phone format is invalid.","El formato del teléfono no es válido.",,""
"A primary contact must be active.","El contacto principal debe estar activo.",,""
"A default address must be active.","La dirección predeterminada debe estar activa.",,""
"Tag belongs to another company.","La etiqueta pertenece a otra compañía.",,""
"Party role is already assigned.","El rol ya está asignado al tercero.",,""
"Tag is already linked to the party.","La etiqueta ya está vinculada al tercero.",,""
