"key","message","comment","context"
"Price list is required.","La lista de precios es obligatoria.",,""
"An active company must be selected.","Debe seleccionar una compañía para continuar.",,""
"You do not have access to the record company.","No tiene acceso a la compañía del registro.",,""
"Company must be active.","La compañía debe estar activa.",,""
"Price list name is required.","El nombre de la lista de precios es obligatorio.",,""
"A price list with this name already exists.","Ya existe una lista de precios con este nombre.",,""
"Currency is required.","La moneda es obligatoria.",,""
"Priority cannot be negative.","La prioridad no puede ser negativa.",,""
"Valid until cannot be before valid from.","La fecha final no puede ser anterior a la fecha inicial.",,""
"Company, item and currency are required to resolve a price.","Se requieren compañía, artículo y moneda para resolver un precio.",,""
"Quantity must be greater than zero.","La cantidad debe ser mayor que cero.",,""
"Explicit price list is not valid for the requested context.","La lista de precios indicada no es válida para el contexto solicitado.",,""
"No applicable price was found.","No se encontró un precio aplicable.",,""
"More than one price rule has the same priority.","Más de una regla de precio tiene la misma prioridad.",,""
"Currency is archived.","La moneda está archivada.",,""
"Price list company cannot be changed.","No puede modificar la compañía de la lista de precios.",,""
"Price list is archived or inactive.","La lista de precios está archivada o inactiva.",,""
"Price list item is required.","La línea de precio es obligatoria.",,""
"Item is required.","El artículo es obligatorio.",,""
"Item belongs to another company.","El artículo pertenece a otra compañía.",,""
"Price is required.","El precio es obligatorio.",,""
"Price cannot be negative.","El precio no puede ser negativo.",,""
"The item already has an active price in this list.","El artículo ya tiene un precio activo en esta lista.",,""
"Price list cannot be changed on an existing line.","No puede modificar la lista de una línea existente.",,""
"Price list item is archived or inactive.","La línea de precio está archivada o inactiva.",,""
