"key","message","comment"
"Currency is required.","Currency is required.","Currency validation"
"Currency code is required.","Currency code is required.","Currency validation"
"Currency code must contain exactly three characters.","Currency code must contain exactly three characters.","Currency validation"
"Currency decimal places must be between 0 and 6.","Currency decimal places must be between 0 and 6.","Currency validation"
"An active currency with code {0} already exists.","An active currency with code {0} already exists.","Currency validation"
"Currency must be saved before it can be archived.","Currency must be saved before it can be archived.","Currency validation"
"Country is required.","Country is required.","Geography validation"
"Country code is required.","Country code is required.","Geography validation"
"Country name is required.","Country name is required.","Geography validation"
"Country default currency must be active.","Country default currency must be active.","Geography validation"
"An active country with code {0} already exists.","An active country with code {0} already exists.","Geography validation"
"Country cannot be archived while it has active states.","Country cannot be archived while it has active states.","Geography validation"
"State is required.","State is required.","Geography validation"
"State code is required.","State code is required.","Geography validation"
"State name is required.","State name is required.","Geography validation"
"State country is required.","State country is required.","Geography validation"
"State country must be active.","State country must be active.","Geography validation"
"An active state with code {0} already exists in country {1}.","An active state with code {0} already exists in country {1}.","Geography validation"
"State cannot be archived while it has active cities.","State cannot be archived while it has active cities.","Geography validation"
"City is required.","City is required.","Geography validation"
"City code is required.","City code is required.","Geography validation"
"City name is required.","City name is required.","Geography validation"
"City state is required.","City state is required.","Geography validation"
"City state must be active.","City state must be active.","Geography validation"
"City state country must be active.","City state country must be active.","Geography validation"
"An active city with code {0} already exists in state {1}.","An active city with code {0} already exists in state {1}.","Geography validation"
