"key","message","comment","context"
"Sales invoices","Facturas de venta",,""
"Sales invoice","Factura de venta",,""
"Branch is required.","La sucursal es obligatoria.",,""
"Customer is required.","El cliente es obligatorio.",,""
"Due date is required.","La fecha de vencimiento es obligatoria.",,""
"Price list is required.","La lista de precios es obligatoria.",,""
"Currency does not match price list.","La moneda no coincide con la lista de precios.",,""
"Quantity must be greater than zero.","La cantidad debe ser mayor que cero.",,""
"Unit price cannot be negative.","El precio no puede ser negativo.",,""
"Invoice must contain at least one line.","La factura debe contener al menos una línea.",,""
"Invoice totals are invalid.","Los totales de la factura no son válidos.",,""
"Document series is required.","La serie documental es obligatoria.",,""
"Only a draft invoice can be confirmed.","Solo puede confirmar una factura en borrador.",,""
"Cancellation reason is required.","El motivo de cancelación es obligatorio.",,""
