"key","message","comment","context"
"Tax category is required.","La categoría tributaria es obligatoria.",,""
"Country is required.","El país es obligatorio.",,""
"Country must be active.","El país debe estar activo.",,""
"Tax code is required.","El código tributario es obligatorio.",,""
"Tax category name is required.","El nombre de la categoría tributaria es obligatorio.",,""
"Tax type is required.","El tipo tributario es obligatorio.",,""
"Tax category already exists.","La categoría tributaria ya existe.",,""
"Tax category is archived.","La categoría tributaria está archivada.",,""
"Country cannot be changed on a tax category that contains rates.","No puede modificar el país de una categoría que contiene tarifas.",,""
"Type cannot be changed on a tax category that contains rates.","No puede modificar el tipo de una categoría que contiene tarifas.",,""
"Tax rate is required.","La tarifa es obligatoria.",,""
"Tax rate is archived.","La tarifa está archivada.",,""
"Tax rate cannot be negative.","La tarifa no puede ser negativa.",,""
"Valid from date is required.","La fecha inicial es obligatoria.",,""
"Valid until date cannot be before valid from date.","La fecha final no puede ser anterior a la fecha inicial.",,""
"The validity period overlaps another tax rate.","El periodo se superpone con otra tarifa.",,""
"No tax rate is applicable on the selected date.","No existe una tarifa vigente para la fecha seleccionada.",,""
"Multiple tax rates are applicable on the selected date.","Existen varias tarifas vigentes para la misma fecha.",,""
"Tax date is required.","La fecha tributaria es obligatoria.",,""
"Taxable base is required.","La base imponible es obligatoria.",,""
"Tax scale must be between 0 and 12.","La escala tributaria debe estar entre 0 y 12.",,""
"Tax rounding mode is required.","El modo de redondeo es obligatorio.",,""
"Tax category cannot be changed on an existing tax rate.","No puede modificar la categoría de una tarifa existente.",,""
"Create a new validity period to change the tax rate.","Cree una nueva vigencia para cambiar la tarifa.",,""
"Valid from date cannot be changed on an existing tax rate.","No puede modificar la fecha inicial de una tarifa existente.",,""
"Close validity","Cerrar vigencia",,""
