"key","message","comment","context"
"Spanish","Español",,"resources\views\language.xml:14",
"<>
  <Box d=""flex"" alignItems=""center"">
    <Icon icon={""exclamation-triangle""} />
    <span>{_t(""The scheduler service is disabled."")}</span>
  </Box>
</>","<>
  <Box d=""flex"" alignItems=""center"">
    <Icon icon={""exclamation-triangle""} />
    <span>{_t(""El servicio de programación está desactivado."")}</span>
  </Box>
</>","",""
"<>
  <Box flexDirection=""row"" alignItems=""baseline"" d=""flex"" g={2}>
    <Icon icon={""info-circle""} />
    <Box alignSelf=""center"">
      {_t(""When making the theme available to users, make sure that the name is unique."")}
    </Box>
  </Box>
</>","<>
  <Box flexDirection=""row"" alignItems=""baseline"" d=""flex"" g={2}>
    <Icon icon={""info-circle""} />
    <Box alignSelf=""center"">
      {_t(""Al habilitar el tema para los usuarios, asegúrese de que el nombre sea único."")}
    </Box>
  </Box>
</>","",""
"<>
  {_passwordRequirements && _passwordRequirements.length > 0 && (
    <Box
      mb={2}
      rounded
      style={{
        backgroundColor: ""var(--bs-tertiary-bg)"",
        color: ""rgba(var(--bs-body-color-rgb), 0.65)"",
        padding: ""0.65rem 0.75rem"",
      }}
    >
      <Box
        as=""p""
        mb={1}
        style={{ fontWeight: 600 }}
      >
        {_t(""Your new password must"")}
      </Box>
      <Box
        as=""ul""
        d=""flex""
        flexDirection=""column""
        style={{ listStyle: ""none"", padding: 0, margin: 0, gap: ""0.2rem"" }}
      >
        {_passwordRequirements.map((requirement, i) => (
          <Box
            as=""li""
            key={i}
            d=""flex""
            alignItems=""center""
            style={{ gap: ""0.25rem"" }}
          >
            <Icon icon=""dot"" />
            {requirement}
          </Box>
        ))}
      </Box>
    </Box>
  )}
</>","<>
  {_passwordRequirements && _passwordRequirements.length > 0 && (
    <Box
      mb={2}
      rounded
      style={{
        backgroundColor: ""var(--bs-tertiary-bg)"",
        color: ""rgba(var(--bs-body-color-rgb), 0.65)"",
        padding: ""0.65rem 0.75rem"",
      }}
    >
      <Box
        as=""p""
        mb={1}
        style={{ fontWeight: 600 }}
      >
        {_t(""Su nueva contraseña debe"")}
      </Box>
      <Box
        as=""ul""
        d=""flex""
        flexDirection=""column""
        style={{ listStyle: ""none"", padding: 0, margin: 0, gap: ""0.2rem"" }}
      >
        {_passwordRequirements.map((requirement, i) => (
          <Box
            as=""li""
            key={i}
            d=""flex""
            alignItems=""center""
            style={{ gap: ""0.25rem"" }}
          >
            <Icon icon=""dot"" />
            {requirement}
          </Box>
        ))}
      </Box>
    </Box>
  )}
</>","",""
"A field is required. Please provide a value.","Se requiere completar un campo. Proporcione un valor.","",""
"A new verification code has been sent to your email address.","Se ha enviado un nuevo código de verificación a su dirección de correo electrónico.","",""
"A theme with the same name already exist. It may create conflicts. Are you sure you want to continue?","Ya existe un tema con el mismo nombre. Esto puede provocar conflictos. ¿Está seguro de que desea continuar?","",""
"A views restoring is already in progress. Please wait until it ends and try again.","Ya hay una restauración de vistas en curso. Espere a que finalice e inténtelo nuevamente.","",""
"API Keys","Claves de API","",""
"API key","Clave de API","",""
"API key not found","No se encontró la clave de API","",""
"API key should be attached to a valid user","La clave de API debe estar asociada a un usuario válido","",""
"Access error","Error de acceso","",""
"Action","Acción","",""
"Action Menu","Menú de acciones","",""
"Action Menus","Menús de acciones","",""
"Action name can't be changed.","No se puede cambiar el nombre de la acción.","",""
"Actions","Acciones","",""
